,Theme,FeatureVector,WordVector
Marriage,Everyday life,[0.         0.00877193 0.00438596 ... 0.         0.         0.        ],"['marriage', 'also', 'call', 'matrimony', 'wedlock', 'culturally', 'often', 'legally', 'recognize', 'union', 'people', 'call', 'spouse', 'establishes', 'right', 'obligation', 'well', 'child', 'law', 'consider', 'cultural', 'universal', 'definition', 'marriage', 'vary', 'culture', 'religion', 'time', 'typically', 'institution', 'interpersonal', 'relationship', 'usually', 'sexual', 'acknowledge', 'sanctioned', 'culture', 'marriage', 'recommend', 'consider', 'compulsory', 'pursue', 'sexual', 'activity', 'marriage', 'ceremony', 'call', 'wedding', 'individual', 'may', 'marry', 'several', 'reason', 'include', 'legal', 'social', 'libidinal', 'emotional', 'financial', 'spiritual', 'religious', 'purpose', 'marry', 'may', 'influence', 'gender', 'socially', 'determine', 'rule', 'incest', 'prescriptive', 'marriage', 'rule', 'parental', 'choice', 'individual', 'desire', 'area', 'world', 'arrange', 'marriage', 'child', 'marriage', 'polygamy', 'force', 'marriage', 'practice', 'area', 'practice', 'outlaw', 'preserve', 'woman', 'right', 'child', 'right', 'female', 'male', 'result', 'international', 'law', 'part', 'world', 'marriage', 'historically', 'restrict', 'right', 'woman', 'consider', 'property', 'husband', 'around', 'world', 'primarily', 'develop', 'democracy', 'general', 'trend', 'towards', 'ensure', 'equal', 'right', 'woman', 'within', 'marriage', 'include', 'abolish', 'coverture', 'liberalize', 'divorce', 'law', 'reform', 'reproductive', 'sexual', 'right', 'legally', 'recognize', 'marriage', 'interfaith', 'interracial', 'interethnic', 'inter', 'caste', 'sex', 'couple', 'controversy', 'continue', 'regard', 'legal', 'status', 'marry', 'woman', 'leniency', 'towards', 'violence', 'within', 'marriage', 'custom', 'dowry', 'bride', 'price', 'force', 'marriage', 'marriageable', 'age', 'criminalization', 'premarital', 'extramarital', 'sex', 'female', 'age', 'marriage', 'proven', 'strong', 'indicator', 'female', 'autonomy', 'continuously', 'used', 'economic', 'history', 'research', 'marriage', 'recognize', 'state', 'organization', 'religious', 'authority', 'tribal', 'group', 'local', 'community', 'peer', 'often', 'view', 'contract', 'religious', 'marriage', 'perform', 'religious', 'institution', 'recognize', 'create', 'right', 'obligation', 'intrinsic', 'matrimony', 'religion', 'religious', 'marriage', 'know', 'variously', 'sacramental', 'marriage', 'catholicism', 'nikah', 'islam', 'nissuin', 'judaism', 'various', 'name', 'faith', 'tradition', 'constraint', 'constitutes', 'enter', 'valid', 'religious', 'marriage']"
Mars,Science,[0.         0.00403226 0.00403226 ... 0.         0.         0.        ],"['mar', 'fourth', 'planet', 'sun', 'second', 'small', 'planet', 'solar', 'system', 'large', 'mercury', 'english', 'language', 'mar', 'name', 'roman', 'god', 'war', 'mar', 'terrestrial', 'planet', 'thin', 'atmosphere', 'crust', 'primarily', 'compose', 'element', 'similar', 'earth', 'crust', 'well', 'core', 'make', 'iron', 'nickel', 'mar', 'surface', 'feature', 'impact', 'crater', 'valleys', 'dune', 'polar', 'ice', 'cap', 'two', 'small', 'irregularly', 'shaped', 'moon', 'phobos', 'deimos', 'notable', 'surface', 'feature', 'mar', 'include', 'olympus', 'mon', 'large', 'volcano', 'high', 'know', 'mountain', 'planet', 'solar', 'system', 'valles', 'marineris', 'one', 'large', 'canyon', 'solar', 'system', 'borealis', 'basin', 'northern', 'hemisphere', 'cover', 'approximately', '40', 'planet', 'may', 'large', 'impact', 'feature', 'day', 'season', 'mar', 'comparable', 'earth', 'planet', 'similar', 'rotation', 'period', 'tilt', 'rotational', 'axis', 'relative', 'ecliptic', 'plane', 'liquid', 'water', 'surface', 'mar', 'exist', 'due', 'low', 'atmospheric', 'pressure', 'le', '1', 'atmospheric', 'pressure', 'earth', 'mar', 'polar', 'ice', 'cap', 'appear', 'make', 'largely', 'water', 'distant', 'past', 'mar', 'likely', 'wetter', 'thus', 'possibly', 'suit', 'life', 'however', 'unknown', 'whether', 'life', 'ever', 'exist', 'mar', 'mar', 'explore', 'several', 'uncrewed', 'spacecraft', 'begin', 'mariner', '4', '1965', 'nasa', 'viking', '1', 'lander', 'transmit', '1976', 'first', 'image', 'martian', 'surface', 'two', 'country', 'successfully', 'deploy', 'rover', 'mar', 'united', 'state', 'first', 'sojourner', '1997', 'china', 'zhurong', '2021', 'also', 'plan', 'future', 'mission', 'mar', 'mar', 'sample', 'return', 'mission', 'set', 'happen', '2026', 'rosalind', 'franklin', 'rover', 'mission', 'intend', 'launch', '2018', 'delayed', '2024', 'early', 'likely', 'launch', 'date', '2028', 'mar', 'view', 'earth', 'naked', 'eye', 'reddish', 'color', 'appearance', 'due', 'iron', 'oxide', 'prevalent', 'surface', 'lead', 'mar', 'often', 'call', 'red', 'planet', 'among', 'bright', 'object', 'earth', 'sky', 'apparent', 'magnitude', 'reach', '−2', '94', 'comparable', 'jupiter', 'surpass', 'venus', 'moon', 'sun', 'historically', 'mar', 'observed', 'since', 'ancient', 'time', 'millennia', 'featured', 'culture', 'art', 'way', 'reflect', 'humanity', 'grow', 'knowledge']"
Martial arts,Everyday life,[0. 0. 0. ... 0. 0. 0.],"['martial', 'art', 'codify', 'system', 'tradition', 'combat', 'practice', 'number', 'reason', 'self', 'defense', 'military', 'law', 'enforcement', 'application', 'competition', 'physical', 'mental', 'spiritual', 'development', 'entertainment', 'preservation', 'nation', 'intangible', 'cultural', 'heritage']"
Martin Luther,People,[0.         0.         0.00414938 ... 0.         0.         0.        ],"['martin', 'luther', 'german', 'ˈmaʁtiːn', 'ˈlʊtɐ', 'listen', '10', 'november', '1483', '–', '18', 'february', '1546', 'german', 'priest', 'theologian', 'author', 'hymnwriter', 'former', 'augustinian', 'friar', 'best', 'know', 'seminal', 'figure', 'protestant', 'reformation', 'namesake', 'lutheranism', 'luther', 'ordain', 'priesthood', '1507', 'come', 'reject', 'several', 'teaching', 'practice', 'roman', 'catholic', 'church', 'particular', 'dispute', 'view', 'indulgence', 'luther', 'propose', 'academic', 'discussion', 'practice', 'efficacy', 'indulgence', 'ninety', 'five', 'thesis', '1517', 'refusal', 'renounce', 'writing', 'demand', 'pope', 'leo', 'x', '1520', 'holy', 'roman', 'emperor', 'charles', 'v', 'diet', 'worm', '1521', 'result', 'excommunication', 'pope', 'condemnation', 'outlaw', 'holy', 'roman', 'emperor', 'luther', 'taught', 'salvation', 'consequently', 'eternal', 'life', 'earn', 'good', 'deed', 'receive', 'free', 'gift', 'god', 'grace', 'believer', 'faith', 'jesus', 'christ', 'redeemer', 'sin', 'theology', 'challenge', 'authority', 'office', 'pope', 'teach', 'bible', 'source', 'divinely', 'reveal', 'knowledge', 'oppose', 'sacerdotalism', 'consider', 'baptize', 'christian', 'holy', 'priesthood', 'identify', 'luther', 'wider', 'teaching', 'call', 'lutheran', 'though', 'luther', 'insisted', 'christian', 'evangelical', 'german', 'evangelisch', 'acceptable', 'name', 'individual', 'profess', 'christ', 'translation', 'bible', 'german', 'vernacular', 'instead', 'latin', 'make', 'accessible', 'laity', 'event', 'tremendous', 'impact', 'church', 'german', 'culture', 'foster', 'development', 'standard', 'version', 'german', 'language', 'add', 'several', 'principle', 'art', 'translation', 'influence', 'write', 'english', 'translation', 'tyndale', 'bible', 'hymn', 'influence', 'development', 'sing', 'protestant', 'church', 'marriage', 'katharina', 'von', 'bora', 'former', 'nun', 'set', 'model', 'practice', 'clerical', 'marriage', 'allow', 'protestant', 'clergy', 'marry', 'two', 'later', 'work', 'luther', 'express', 'antagonistic', 'violent', 'view', 'towards', 'jew', 'call', 'burning', 'synagogue', 'expulsion', 'addition', 'jew', 'work', 'also', 'target', 'roman', 'catholic', 'anabaptists', 'nontrinitarian', 'christian', 'base', 'upon', 'significant', 'antisemitic', 'teaching', 'prevail', 'view', 'among', 'historian', 'anti', 'jewish', 'rhetoric', 'contribute', 'significantly', 'development', 'antisemitism', 'germany', 'nazi', 'party', 'luther', 'die', '1546', 'pope', 'leo', 'x', 'excommunication', 'still', 'effect']"
Mary Wollstonecraft,People,[0.         0.         0.00621118 ... 0.         0.         0.        ],"['mary', 'wollstonecraft', 'also', 'uk', '27', 'april', '1759', '–', '10', 'september', '1797', 'british', 'writer', 'philosopher', 'advocate', 'woman', 'right', 'late', '20th', 'century', 'wollstonecraft', 'life', 'encompass', 'several', 'unconventional', 'personal', 'relationship', 'time', 'receive', 'attention', 'write', 'today', 'wollstonecraft', 'regard', 'one', 'found', 'feminist', 'philosopher', 'feminist', 'often', 'cite', 'life', 'work', 'important', 'influence', 'brief', 'career', 'write', 'novels', 'treatise', 'travel', 'narrative', 'history', 'french', 'revolution', 'conduct', 'book', 'child', 'book', 'wollstonecraft', 'best', 'know', 'vindication', 'right', 'woman', '1792', 'argue', 'woman', 'naturally', 'inferior', 'men', 'appear', 'lack', 'education', 'suggest', 'men', 'woman', 'treat', 'rational', 'being', 'imago', 'social', 'order', 'found', 'reason', 'wollstonecraft', 'death', 'widower', 'publish', 'memoir', '1798', 'life', 'reveal', 'unorthodox', 'lifestyle', 'inadvertently', 'destroy', 'reputation', 'almost', 'century', 'however', 'emergence', 'feminist', 'movement', 'turn', 'twentieth', 'century', 'wollstonecraft', 'advocacy', 'woman', 'equality', 'critique', 'conventional', 'femininity', 'become', 'increasingly', 'important', 'two', 'ill', 'fat', 'affair', 'henry', 'fuseli', 'gilbert', 'imlay', 'daughter', 'fanny', 'imlay', 'wollstonecraft', 'marry', 'philosopher', 'william', 'godwin', 'one', 'forefather', 'anarchist', 'movement', 'wollstonecraft', 'die', 'age', '38', 'leave', 'behind', 'several', 'unfinished', 'manuscript', 'die', '11', 'day', 'give', 'birth', 'second', 'daughter', 'mary', 'shelley', 'would', 'become', 'accomplished', 'writer', 'author', 'frankenstein']"
Masonry,Technology,[0.01612903 0.         0.01612903 ... 0.         0.         0.        ],"['masonry', 'building', 'structure', 'individual', 'unit', 'often', 'lay', 'bound', 'together', 'mortar', 'term', 'masonry', 'also', 'refer', 'unit', 'common', 'material', 'masonry', 'construction', 'brick', 'building', 'stone', 'marble', 'granite', 'limestone', 'cast', 'stone', 'concrete', 'block', 'glass', 'block', 'adobe', 'masonry', 'generally', 'highly', 'durable', 'form', 'construction', 'however', 'material', 'use', 'quality', 'mortar', 'workmanship', 'pattern', 'unit', 'assemble', 'substantially', 'affect', 'durability', 'overall', 'masonry', 'construction', 'person', 'construct', 'masonry', 'call', 'mason', 'bricklayer', 'classify', 'construction', 'trade']"
Mass media,Society and social sciences,[0.00621118 0.00621118 0.01242236 ... 0.         0.         0.        ],"['mass', 'medium', 'refers', 'diverse', 'array', 'medium', 'technology', 'reach', 'large', 'audience', 'via', 'mass', 'communication', 'technology', 'communication', 'take', 'place', 'include', 'variety', 'outlet', 'broadcast', 'medium', 'transmit', 'information', 'electronically', 'via', 'medium', 'film', 'radio', 'record', 'music', 'television', 'digital', 'medium', 'comprises', 'internet', 'mobile', 'mass', 'communication', 'internet', 'medium', 'comprise', 'service', 'email', 'social', 'medium', 'sit', 'website', 'internet', 'base', 'radio', 'television', 'many', 'mass', 'medium', 'outlets', 'additional', 'presence', 'web', 'mean', 'link', 'run', 'tv', 'ad', 'online', 'distribute', 'qr', 'code', 'outdoor', 'print', 'medium', 'direct', 'mobile', 'user', 'website', 'way', 'use', 'easy', 'accessibility', 'outreach', 'capability', 'internet', 'affords', 'thereby', 'easily', 'broadcast', 'information', 'throughout', 'many', 'different', 'region', 'world', 'simultaneously', 'cost', 'efficiently', 'outdoor', 'medium', 'transmit', 'information', 'via', 'medium', 'ar', 'advertising', 'billboard', 'blimps', 'fly', 'billboard', 'sign', 'tow', 'airplane', 'placard', 'kiosk', 'place', 'inside', 'outside', 'bus', 'commercial', 'building', 'shop', 'sport', 'stadium', 'subway', 'car', 'train', 'sign', 'skywriting', 'print', 'medium', 'transmit', 'information', 'via', 'physical', 'object', 'book', 'comic', 'magazine', 'newspaper', 'pamphlet', 'event', 'organise', 'public', 'speaking', 'also', 'consider', 'form', 'mass', 'medium', 'organisation', 'control', 'technologies', 'movie', 'studio', 'publish', 'company', 'radio', 'television', 'station', 'also', 'know', 'mass', 'medium']"
Mass,Science,[0.01408451 0.         0.02816901 ... 0.         0.         0.        ],"['mass', 'quantity', 'matter', 'physical', 'body', 'also', 'measure', 'body', 'inertia', 'resistance', 'acceleration', 'change', 'velocity', 'net', 'force', 'apply', 'object', 'mass', 'also', 'determine', 'strength', 'gravitational', 'attraction', 'body', 'si', 'base', 'unit', 'mass', 'kilogram', 'kg', 'physic', 'mass', 'weight', 'even', 'though', 'mass', 'often', 'determine', 'measure', 'object', 'weight', 'use', 'spring', 'scale', 'rather', 'balance', 'scale', 'compare', 'directly', 'know', 'mass', 'object', 'moon', 'would', 'weigh', 'less', 'earth', 'low', 'gravity', 'would', 'still', 'mass', 'weight', 'force', 'mass', 'property', 'along', 'gravity', 'determines', 'strength', 'force']"
Mathematical analysis,Mathematics,[0. 0. 0. ... 0. 0. 0.],"['analysis', 'branch', 'mathematics', 'deal', 'continuous', 'function', 'limit', 'related', 'theory', 'differentiation', 'integration', 'measure', 'infinite', 'sequence', 'series', 'analytic', 'function', 'theory', 'usually', 'study', 'context', 'real', 'complex', 'number', 'function', 'analysis', 'evolve', 'calculus', 'involves', 'elementary', 'concept', 'technique', 'analysis', 'analysis', 'may', 'distinguish', 'geometry', 'however', 'apply', 'space', 'mathematical', 'object', 'definition', 'nearness', 'topological', 'space', 'specific', 'distance', 'object', 'metric', 'space']"
Mathematical proof,Mathematics,[0.02097902 0.         0.         ... 0.         0.         0.        ],"['mathematical', 'proof', 'inferential', 'argument', 'mathematical', 'statement', 'show', 'stated', 'assumption', 'logically', 'guarantee', 'conclusion', 'argument', 'may', 'use', 'previously', 'establish', 'statement', 'theorems', 'every', 'proof', 'principle', 'construct', 'use', 'certain', 'basic', 'original', 'assumption', 'know', 'axiom', 'along', 'accepted', 'rule', 'inference', 'proofs', 'example', 'exhaustive', 'deductive', 'reason', 'establish', 'logical', 'certainty', 'distinguish', 'empirical', 'argument', 'non', 'exhaustive', 'inductive', 'reason', 'establish', 'reasonable', 'expectation', 'present', 'many', 'case', 'statement', 'hold', 'enough', 'proof', 'must', 'demonstrate', 'statement', 'true', 'possible', 'case', 'proposition', 'prove', 'believed', 'true', 'know', 'conjecture', 'hypothesis', 'frequently', 'use', 'assumption', 'mathematical', 'work', 'proof', 'employ', 'logic', 'express', 'mathematical', 'symbol', 'along', 'natural', 'language', 'usually', 'admit', 'ambiguity', 'mathematical', 'literature', 'proof', 'write', 'term', 'rigorous', 'informal', 'logic', 'purely', 'formal', 'proof', 'write', 'fully', 'symbolic', 'language', 'without', 'involvement', 'natural', 'language', 'consider', 'proof', 'theory', 'distinction', 'formal', 'informal', 'proof', 'lead', 'much', 'examination', 'current', 'historical', 'mathematical', 'practice', 'quasi', 'empiricism', 'mathematics', 'call', 'folk', 'mathematics', 'oral', 'tradition', 'mainstream', 'mathematical', 'community', 'culture', 'philosophy', 'mathematics', 'concerned', 'role', 'language', 'logic', 'proof', 'mathematics', 'language']"
Mathematics,Mathematics,[0.01581028 0.00790514 0.         ... 0.         0.         0.        ],"['mathematics', 'ancient', 'greek', 'μάθημα', 'máthēma', 'knowledge', 'study', 'learn', 'area', 'knowledge', 'include', 'topic', 'number', 'arithmetic', 'number', 'theory', 'formula', 'related', 'structure', 'algebra', 'shape', 'space', 'contain', 'geometry', 'quantity', 'change', 'calculus', 'analysis', 'mathematical', 'activity', 'involve', 'use', 'pure', 'reason', 'discover', 'prove', 'property', 'abstract', 'object', 'consist', 'either', 'abstraction', 'nature', 'or—in', 'modern', 'mathematics—entities', 'stipulate', 'certain', 'property', 'call', 'axiom', 'mathematical', 'proof', 'consist', 'succession', 'application', 'deductive', 'rule', 'already', 'know', 'result', 'include', 'previously', 'prove', 'theorem', 'axiom', 'case', 'abstraction', 'nature', 'basic', 'property', 'consider', 'true', 'start', 'point', 'theory', 'consideration', 'mathematics', 'use', 'science', 'model', 'phenomena', 'allows', 'prediction', 'make', 'experimental', 'law', 'independence', 'mathematical', 'truth', 'experimentation', 'implies', 'accuracy', 'prediction', 'depend', 'adequacy', 'model', 'inaccurate', 'prediction', 'rather', 'cause', 'incorrect', 'mathematics', 'imply', 'need', 'change', 'mathematical', 'model', 'use', 'example', 'perihelion', 'precession', 'mercury', 'could', 'explain', 'emergence', 'einstein', 'general', 'relativity', 'replace', 'newton', 'law', 'gravitation', 'well', 'mathematical', 'model', 'mathematics', 'essential', 'science', 'engineering', 'medicine', 'finance', 'computer', 'science', 'social', 'science', 'area', 'mathematics', 'statistic', 'game', 'theory', 'develop', 'close', 'correlation', 'application', 'often', 'group', 'applied', 'mathematics', 'mathematical', 'area', 'develop', 'independently', 'application', 'therefore', 'call', 'pure', 'mathematics', 'practical', 'application', 'often', 'discover', 'later', 'fit', 'example', 'problem', 'integer', 'factorization', 'go', 'back', 'euclid', 'practical', 'application', 'use', 'rsa', 'cryptosystem', 'security', 'computer', 'network', 'historically', 'concept', 'proof', 'associate', 'mathematical', 'rigour', 'first', 'appear', 'greek', 'mathematics', 'notably', 'euclid', 'element', 'since', 'begin', 'mathematics', 'essentially', 'divide', 'geometry', 'arithmetic', 'manipulation', 'natural', 'number', 'fraction', '16th', '17th', 'century', 'algebra', 'infinitesimal', 'calculus', 'introduce', 'new', 'area', 'subject', 'since', 'interaction', 'mathematical', 'innovation', 'scientific', 'discovery', 'lead', 'rapid', 'increase', 'development', 'mathematics', 'end', '19th', 'century', 'foundational', 'crisis', 'mathematics', 'lead', 'systematization', 'axiomatic', 'method', 'give', 'rise', 'dramatic', 'increase', 'number', 'mathematics', 'area', 'field', 'application', 'example', 'mathematics', 'subject', 'classification', 'list', '60', 'first', 'level', 'area', 'mathematics']"
